	RM-SU2211-EXTNEG1	RM-SU2211-EXTNEG2	RM-SU2211-PCRNEG
5a7b179b1b45f0fe2282f260bf073f60	61	79	0
06f825b512d903b9230e1a55d87359ee	0	84	0
c22b16cc6108c04f29fea3b6d4c81571	55	0	0
3ebe761bfb1238c87195d431f41bf976	45	0	0
e8386d3a307c208c4b9f0a756259cd6b	33	12	0
7ff346973a282aa55de296afdb5d74af	26	16	0
65d43491988bfe557da4d86a5ba25dae	18	21	0
caa187b77f27c28a11a913a519da60b9	30	0	0
a738568b261166a672bdd2c51055fff7	0	27	0
359770b93673e10df347f0b09b114ad6	21	0	0
ad2eae9e045450aac2ea20ffc2170dd9	0	21	0
9c190e263c6058544027bc229643bb29	0	19	0
ba2d728243c2c9154b9fb1f4dd992c79	18	0	0
eeab975976476facf88e0f4ccec95d94	17	0	0
1ea5d01f4c06c74f79d877ed156e3025	16	0	0
8ce12e88f6b59bb09494567f0d678092	16	0	0
d829bee4984f82ffc2453212157caf96	16	0	0
27bda8e899a506a11f4f5e7297628faa	16	0	0
827992b22906f7a8b7f7a87580b21cfa	16	0	0
b4289ab0a9a00034c1fbce477b2c4ded	4	11	0
2d51eee954d47bb2f71665bd2691bb94	0	14	0
2e42b6fcd1ef7fb1d69c8b67eec86347	0	14	0
820f6693f569e339f183638cd73a7fe6	0	13	0
394759b248718c545063580b8a541b3a	12	0	0
17bb71a2eb3abf51a7801c0c4cd17a6f	0	12	0
9ef3321ad20cadc72156cab66b72a316	0	12	0
50ceff44c6de0a89fff69967dc46267a	11	0	0
ad4cba5280fb47cbebea01e7031af61c	11	0	0
36bdece87e7773ea8d1356f21d5caa25	0	11	0
9da75f5b1741629f0a55613e852f75c8	10	0	0
86f1248ee4ea85afd8c5b67cc1b04d4c	10	0	0
347eadb9c31e728df4865beb3d73d74e	0	10	0
b4f85f42b79f61e876d8aa95d9101164	0	10	0
a4eac9fcad4c5f9555c01a06d10b6fc6	0	10	0
14bc8ca35e62b96fda59f4a916355ee5	9	0	0
b8a955c70329c471ac7ddc02fa97f1b0	9	0	0
271f64826d2d268977c89d4cda87c88e	9	0	0
ba22f4b1935e5ee33b0813b39dfd935f	5	0	4
c8e759fc345bc6f7c7b0b00cdb354612	0	9	0
380a71542a98c4bef2605836d705d81c	8	0	0
b6d16645619f084c15f25f496ee50de0	8	0	0
0abc4c52a842164a199da0a230959adc	8	0	0
d93ffa15c529756a7f3bff35e3010a5a	8	0	0
e55c9f7a5ad2e41ae2d1938e1f3cf697	8	0	0
4a5cf75f959f95005df0c73dc649cae2	8	0	0
